"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"82",8,"Andrei Iosivas",CIN,"101.9","61","36","479","6","0","0","0"
"83",8,"Elic Ayomanor",TEN,"0","0","0","0","0","0","0","0"
"84",8,"Diontae Johnson",CLE,"72.6","67","33","375","3","2","6","0"
"85",8,"Pat Bryant",DEN,"0","0","0","0","0","0","0","0"
"86",8,"Keenan Allen",LAC,"150.4","121","70","744","7","0","0","0"
"87",8,"Devaughn Vele",DEN,"86","55","41","475","3","0","0","0"
"88",8,"Roman Wilson",PIT,"0","0","0","0","0","0","0","0"
"89",8,"Jalen Royals",KC,"0","0","0","0","0","0","0","0"
"90",8,"Jalen Tolbert",DAL,"127.5","79","49","610","7","0","0","0"
"91",8,"Elijah Moore",BUF,"90.4","102","61","538","1","1","1","0"
"92",8,"Nick Westbrook-Ikhine",MIA,"119.7","60","32","497","9","0","0","0"
"93",8,"Dyami Brown",JAC,"52.4","40","30","308","1","3","26","0"
"94",8,"Brandin Cooks",NO,"56.6","54","26","259","3","3","-3","0"
"95",8,"Malik Washington",MIA,"41.8","36","26","223","0","5","25","1"
"96",8,"Kayshon Boutte",NE,"100.4","68","43","589","3","0","0","0"
"97",8,"Parker Washington",JAC,"81","51","32","390","3","0","0","0"
"98",8,"Tre Tucker",LV,"105.8","81","47","539","3","9","44","1"
"99",8,"Tim Patrick",DET,"75.9","44","33","394","3","0","0","0"
"100",8,"Jalen Nailor",MIN,"89","42","28","414","6","3","-4","0"
"101",8,"Amari Cooper",FA,"100.7","85","44","547","4","0","0","0"
"102",8,"Xavier Restrepo",TEN,"0","0","0","0","0","0","0","0"
"103",8,"Luke McCaffrey",WAS,"25.8","24","18","168","0","0","0","0"
"104",9,"Tory Horton",SEA,"0","0","0","0","0","0","0","0"
"105",9,"Christian Watson",GB,"90.8","53","29","620","2","4","23","0"
"106",9,"Isaac TeSlaa",DET,"0","0","0","0","0","0","0","0"
"107",9,"Jermaine Burton",CIN,"12.7","14","4","107","0","0","0","0"
"108",9,"Dont'e Thornton Jr.",LV,"0","0","0","0","0","0","0","0"
"109",9,"Tez Johnson",TB,"0","0","0","0","0","0","0","0"
"110",9,"Gabe Davis",FA,"43.9","42","20","239","2","0","0","0"
"111",9,"Tutu Atwell",LAR,"77.9","62","42","562","0","2","7","0"
"112",9,"Ray-Ray McCloud III",ATL,"109.5","87","62","686","1","10","79","0"
"113",9,"Jordan Whittington",LAR,"41.5","28","22","293","0","2","12","0"
"114",9,"Tai Felton",MIN,"0","0","0","0","0","0","0","0"
"115",9,"John Metchie III",HOU,"43.4","37","24","254","1","0","0","0"
"116",9,"Marquez Valdes-Scantling",SEA,"75","44","19","411","4","1","4","0"
"117",9,"Demarcus Robinson",SF,"108","64","31","505","7","0","0","0"
"118",9,"Noah Brown",WAS,"68.8","56","35","453","1","0","0","0"
"119",9,"Troy Franklin",DEN,"53.1","53","28","263","2","2","8","0"
"120",9,"KaVontae Turpin",DAL,"88.7","52","31","420","2","16","92","0"
"121",9,"Savion Williams",GB,"0","0","0","0","0","0","0","0"
"122",9,"Josh Reynolds",NYJ,"31.9","24","13","194","1","0","0","0"
"123",10,"Chimere Dike",TEN,"0","0","0","0","0","0","0","0"
"124",10,"Mack Hollins",NE,"83.3","50","31","378","5","0","0","0"
"125",10,"Curtis Samuel",BUF,"48.2","46","31","253","1","5","14","0"
"126",10,"Jaylin Lane",WAS,"0","0","0","0","0","0","0","0"
"127",10,"Tank Dell",HOU,"114.5","81","51","667","3","9","43","0"
"128",10,"KeAndre Lambert-Smith",LAC,"0","0","0","0","0","0","0","0"
"129",10,"Isaiah Bond",FA,"0","0","0","0","0","0","0","0"
"130",10,"Jacob Cowing",SF,"8.7","6","4","80","0","1","7","0"
"131",10,"Greg Dortch",ARI,"71.8","50","37","342","3","5","31","0"
"132",10,"Allen Lazard",NYJ,"107.5","60","37","530","6","0","0","0"
"133",10,"Jalin Hyatt",NYG,"10.2","19","8","62","0","0","0","0"
"134",10,"Jahan Dotson",PHI,"32.4","33","19","216","0","1","13","0"
"135",10,"Ja'Lynn Polk",NE,"26.7","33","12","87","2","1","0","0"
"136",10,"Olamide Zaccheaus",CHI,"89.9","64","45","506","3","1","8","0"
"137",10,"Kendrick Bourne",NE,"51.1","38","28","305","1","1","6","0"
"138",10,"Theo Wease Jr.",MIA,"0","0","0","0","0","0","0","0"
"139",10,"Van Jefferson",TEN,"51.6","40","24","276","2","0","0","0"
"140",10,"Antwane Wells Jr.",NYG,"0","0","0","0","0","0","0","0"
"141",10,"Robert Woods",PIT,"28.3","30","20","203","0","0","0","0"
"142",10,"Jonathan Mingo",DAL,"23.7","42","17","167","0","2","5","0"
"143",10,"Malachi Corley",NYJ,"3.7","6","3","16","0","2","26","0"
"144",10,"JuJu Smith-Schuster",KC,"44.1","26","18","231","2","0","0","0"
"145",10,"Hunter Renfrow",CAR,"0","0","0","0","0","0","0","0"
"146",10,"Zay Jones",ARI,"12.4","11","8","84","0","0","0","0"
"147",10,"Arian Smith",NYJ,"0","0","0","0","0","0","0","0"
"148",10,"KhaDarel Hodge",ATL,"28.6","12","7","131","1","0","0","0"
"149",10,"Devontez Walker",BAL,"8.6","3","1","21","1","0","0","0"
"150",10,"Javon Baker",NE,"1.7","4","1","12","0","0","0","0"
"151",10,"Kalif Raymond",DET,"48","22","17","215","2","2","0","0"
"152",10,"Jordan Watkins",SF,"0","0","0","0","0","0","0","0"
"153",10,"Bub Means",NO,"22.3","15","9","118","1","0","0","0"
"154",11,"Jake Bobo",SEA,"23.2","17","13","107","1","0","0","0"
"155",11,"Derius Davis",LAC,"33.6","17","13","112","2","12","39","0"
"156",11,"Treylon Burks",TEN,"5.5","8","4","34","0","2","1","0"
"157",11,"Tyler Johnson",NYJ,"48.1","41","26","291","1","0","0","0"
"158",11,"Johnny Wilson",PHI,"12.3","15","5","38","1","0","0","0"
"159",11,"Jimmy Horn Jr.",CAR,"0","0","0","0","0","0","0","0"
"160",11,"Michael Gallup",WAS,"0","0","0","0","0","0","0","0"
"161",11,"Jamari Thrash",CLE,"3.7","7","3","22","0","0","0","0"
"162",11,"Efton Chism III",NE,"0","0","0","0","0","0","0","0"
"163",11,"Kaden Prather",BUF,"0","0","0","0","0","0","0","0"
"164",11,"Ricky White III",SEA,"0","0","0","0","0","0","0","0"
"165",11,"Cedrick Wilson Jr.",NO,"39.9","27","20","211","1","0","0","0"
"166",11,"David Bell",CLE,"4.2","3","3","27","0","0","0","0"
"167",11,"Nick Nash",ATL,"0","0","0","0","0","0","0","0"
"168",11,"Sterling Shepard",TB,"64.3","51","32","334","1","8","69","0"
"169",11,"Rondale Moore",MIN,"0","0","0","0","0","0","0","0"
"170",11,"K.J. Osborn",WAS,"15.2","18","7","57","1","0","0","0"
"171",11,"Julian Fleming",FA,"0","0","0","0","0","0","0","0"
"172",11,"David Moore",CAR,"69.1","57","32","351","3","1","0","0"
"173",11,"DeAndre Carter",CLE,"9.7","14","9","72","0","0","0","0"
"174",11,"Mecole Hardman Jr.",GB,"27.2","14","12","90","0","5","62","1"
"175",11,"Tyquan Thornton",KC,"6.7","8","4","47","0","0","0","0"
"176",11,"Ainias Smith",PHI,"14.2","9","7","41","1","2","6","0"
"177",11,"Xavier Gipson",NYJ,"11.4","10","6","39","1","1","5","0"
"178",11,"DJ Chark Jr.",ATL,"11.1","10","4","31","1","0","0","0"
"179",11,"Mason Tipton",NO,"16.9","26","14","99","0","0","0","0"
"180",11,"Justin Watson",HOU,"51.9","32","22","289","2","0","0","0"
"181",11,"Scotty Miller",PIT,"9.4","9","5","69","0","0","0","0"
"182",11,"Trey Palmer",TB,"29.2","22","12","172","1","0","0","0"
"183",11,"Jalen Brooks",DAL,"29.7","30","12","177","1","0","0","0"
"184",11,"Austin Trammell",JAC,"3","3","2","40","0","0","0","0"
"185",11,"Brennan Eagles",FA,"0","0","0","0","0","0","0","0"
"186",11,"Nelson Agholor",FA,"42.1","29","14","231","2","0","0","0"
"187",12,"Xavier Smith",LAR,"5.2","2","2","6","0","4","36","0"
"188",12,"Tylan Wallace",BAL,"30.8","12","11","193","1","0","0","0"
"189",12,"Konata Mumpfield",LAR,"0","0","0","0","0","0","0","0"
"190",12,"Ashton Dulin",IND,"18.2","8","2","67","1","5","45","0"
"191",12,"Skyy Moore",KC,"0","3","0","0","0","0","0","0"
"192",12,"Michael Woods II",FA,"10","17","7","65","0","0","0","0"
"193",12,"Kobe Hudson",CAR,"0","0","0","0","0","0","0","0"
"194",12,"Xavier Hutchinson",HOU,"17.7","26","12","117","0","0","0","0"
