,FANTASYPTS,position,relative_value,id,name,sigma,proj_dist,proj_points
38,226.1,RB,2.6650753743980538,RB15,kenneth-walker-iii,0.22816965900160596,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202c5af0>,0.0
39,189.1,WR,2.6256767012411224,WR20,dj-moore,0.2251369347290095,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202c7710>,0.0
40,222.5,RB,2.6222386870993084,RB27,joe-mixon,0.2248722925951011,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202c5520>,0.0
41,220.9,RB,2.6032001594109775,RB10,bucky-irving,0.22340679641443234,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202c6990>,0.0
42,220.1,RB,2.593680895566812,RB18,chuba-hubbard,0.22267404832409793,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202c4a10>,0.0
43,185.6,WR,2.57281185611794,WR14,tee-higgins,0.22106764797070855,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202c55e0>,0.0
44,216.1,RB,2.546084576345984,RB23,aaron-jones-sr.,0.2190103078724259,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202c5970>,0.0
45,183.4,WR,2.5395825248976536,WR10,a.j.-brown,0.2185098105797765,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202c5820>,0.0
46,183.2,WR,2.5365616766049,WR25,jameson-williams,0.21827727990787354,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202974a0>,0.0
47,181.0,WR,2.503332345384614,WR37,jordan-addison,0.21571944251694156,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420297860>,0.0
48,212.4,RB,2.5020579810667183,RB13,breece-hall,0.21562134795462928,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420295220>,0.0
49,178.3,TE,2.4910687307739274,TE18,jonnu-smith,0.214775447231835,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420294470>,0.0
50,336.0,QB,2.456346553733365,QB15,jared-goff,0.21210269760169218,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420295d60>,0.0
51,177.7,WR,2.4534883485541847,WR12,tyreek-hill,0.21188268643054348,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202972c0>,0.0
52,176.6,WR,2.436873682944041,WR6,nico-collins,0.21060376773507744,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202977d0>,0.0
53,174.5,WR,2.405154775870132,WR36,jakobi-meyers,0.20816219568009692,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202967b0>,0.0
54,328.7,QB,2.402249381200076,QB8,bo-nix,0.20793855208422618,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420296a50>,0.0
55,203.7,RB,2.3985359867614173,RB20,david-montgomery,0.2076527124722426,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420294bf0>,0.0
56,172.5,WR,2.3749462929425986,WR24,zay-flowers,0.20583688896106772,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420296ba0>,0.0
57,172.0,WR,2.367394172210716,WR40,jauan-jennings,0.20525556228131048,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420296c60>,0.0
58,320.1,QB,2.3385184656129128,QB4,jalen-hurts,0.20303284640611546,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420296b10>,0.0
59,320.0,QB,2.3377774084549223,QB26,sam-darnold,0.20297580331683507,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420295df0>,0.0
60,169.5,WR,2.3296335685512997,WR42,jayden-reed,0.2023489288825241,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202959a0>,0.0
61,167.2,WR,2.294893813184636,WR30,calvin-ridley,0.19967482615564053,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420295580>,0.0
62,167.1,WR,2.29338338903826,WR4,puka-nacua,0.1995585608196891,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420294650>,0.0
63,193.5,RB,2.2771653727483065,RB21,d'andre-swift,0.19831017432047895,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202956d0>,0.0
64,165.5,WR,2.2692166026962335,WR19,marvin-harrison-jr.,0.1976983154444658,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420295550>,0.0
65,165.4,WR,2.267706178549857,WR23,devonta-smith,0.19758205010851437,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420297740>,0.0
66,162.6,TE,2.2670380261610528,TE5,t.j.-hockenson,0.19753061888494883,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420294dd0>,0.0
67,308.2,QB,2.250332663812071,QB9,kyler-murray,0.19624471878175298,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420295010>,0.0
68,161.3,TE,2.2484877130402414,TE7,mark-andrews,0.19610270316195821,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420296ae0>,0.0
69,161.2,WR,2.2042683644020373,WR49,darnell-mooney,0.19269890599855316,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202968d0>,0.0
70,186.6,RB,2.1950617220923787,RB37,najee-harris,0.19199022204134475,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420296960>,0.0
71,159.5,WR,2.1785911539136347,WR26,rashee-rice,0.19072239528737844,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420295bb0>,0.0
72,158.2,WR,2.158955640010738,WR21,dk-metcalf,0.18921094592000948,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420294950>,0.0
73,157.7,WR,2.1514035192788548,WR27,xavier-worthy,0.18862961924025218,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202958b0>,0.0
74,293.5,QB,2.141397261587502,QB6,patrick-mahomes-ii,0.18785938465754057,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420294350>,0.0
75,156.4,WR,2.1317680053759585,WR32,chris-olave,0.18711816987288327,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420295520>,0.0
76,180.2,RB,2.1189076113390537,RB25,tony-pollard,0.18612823731866945,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420297bf0>,0.0
77,288.4,QB,2.1036033465299977,QB13,justin-herbert,0.18495018710424233,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420297e30>,0.0
78,178.3,RB,2.096299359709161,RB51,rico-dowdle,0.18438796060412527,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420294a70>,0.0
79,152.1,WR,2.0668197670817623,WR55,rashod-bateman,0.18211876042697062,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420295460>,0.0
80,175.8,RB,2.0665516601961436,RB40,j.k.-dobbins,0.18209812282183027,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202965a0>,0.0
81,174.8,RB,2.054652580390936,RB26,isiah-pacheco,0.18118218770891223,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420295d30>,0.0
82,281.0,QB,2.048765116838718,QB25,geno-smith,0.1807289984974959,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4202963f0>,0.0
83,174.1,RB,2.046323224527291,RB42,rachaad-white,0.1805410331298696,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e1d30>,0.0
84,146.9,TE,2.0430073215481785,TE6,travis-kelce,0.18028579053806268,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e3680>,0.0
85,150.4,WR,2.0411425565933596,WR86,keenan-allen,0.1801422497157959,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e1460>,0.0
86,278.9,QB,2.033202916520922,QB10,brock-purdy,0.17953109362260838,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e0b30>,0.0
87,144.6,TE,2.010187536795974,TE4,sam-laporta,0.17775947810507936,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e3bf0>,0.0
88,144.4,TE,2.0073336424696953,TE19,zach-ertz,0.1775397987630808,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e24e0>,0.0
89,147.5,WR,1.9973402563484366,WR45,josh-downs,0.17677055497320363,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e0860>,0.0
90,147.2,WR,1.9928089839093066,WR62,quentin-johnston,0.17642175896534926,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e33e0>,0.0
91,146.6,WR,1.9837464390310466,WR44,ricky-pearsall,0.1757241669496405,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e2870>,0.0
92,144.5,WR,1.9520275319571372,WR41,khalil-shakir,0.17328259489465994,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e2c00>,0.0
93,267.6,QB,1.9494634576680223,QB28,aaron-rodgers,0.1730852245339281,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e1b80>,0.0
94,165.9,RB,1.9487507701245943,RB36,zach-charbonnet,0.173030365203942,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e1820>,0.0
95,142.9,WR,1.927860745615111,WR72,alec-pierce,0.17142234951943663,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e03b0>,0.0
96,138.3,TE,1.9202898655181964,TE10,tucker-kraft,0.17083957883212503,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e05f0>,0.0
97,163.3,RB,1.9178131626310564,RB30,tyrone-tracy-jr.,0.17064893391035518,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e2c60>,0.0
98,141.5,WR,1.9067148075658378,WR46,cooper-kupp,0.16979463481611626,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e1220>,0.0
99,260.9,QB,1.899812628082674,QB27,cameron-ward,0.16926333755214418,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e35f0>,0.0
100,260.5,QB,1.896848399450713,QB14,caleb-williams,0.16903516519502276,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e1280>,0.0
