"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"52",5,"Jameson Williams",DET,"183.2","0","0","58","1001","7","11","61","1"
"53",5,"David Montgomery",DET,"203.7","0","0","36","341","0","185","775","12"
"54",5,"Rashee Rice",KC,"52.9","0","0","24","288","2","1","1","0"
"55",5,"D'Andre Swift",CHI,"193.5","0","0","42","386","0","253","959","6"
"56",5,"Xavier Worthy",KC,"157.7","0","0","59","638","6","20","104","3"
"57",5,"Jaylen Waddle",MIA,"120.6","0","0","58","744","2","4","12","0"
"58",5,"Sam LaPorta",DET,"144.6","0","0","60","726","7","0","0","0"
"59",5,"Tetairoa McMillan",CAR,"0","0","0","0","0","0","0","0","0"
"60",5,"Calvin Ridley",TEN,"167.2","0","0","64","1017","4","8","55","1"
"61",5,"George Pickens",DAL,"134.9","0","0","59","900","3","2","-6","0"
"62",5,"TreVeyon Henderson",NE,"0","0","0","0","0","0","0","0","0"
"63",6,"Aaron Jones Sr.",MIN,"216.1","0","0","51","408","2","255","1138","5"
"64",6,"Patrick Mahomes II",KC,"293.5","3928","26","0","0","0","58","307","2"
"65",6,"RJ Harvey",DEN,"0","0","0","0","0","0","0","0","0"
"66",6,"Tony Pollard",TEN,"180.2","0","0","41","238","0","260","1079","5"
"67",6,"Isiah Pacheco",KC,"50.9","0","0","12","79","0","83","310","1"
"68",6,"Chris Olave",NO,"60.7","0","0","32","400","1","1","7","0"
"69",6,"Joe Mixon",HOU,"222.5","0","0","36","309","1","245","1016","11"
"70",6,"T.J. Hockenson",MIN,"66","0","0","41","455","0","0","0","0"
"71",6,"Baker Mayfield",TB,"381.8","4500","41","0","0","0","60","378","3"
"72",6,"Travis Hunter",JAC,"0","0","0","0","0","0","0","0","0"
"73",6,"Kaleb Johnson",PIT,"0","0","0","0","0","0","0","0","0"
"74",6,"Jerry Jeudy",CLE,"195.9","0","0","90","1229","4","0","0","0"
"75",6,"Brian Robinson Jr.",WAS,"149.8","0","0","20","159","0","187","799","8"
"76",6,"Bo Nix",DEN,"328.7","3775","29","0","0","0","92","430","4"
"77",6,"Rome Odunze",CHI,"117.9","0","0","54","734","3","3","15","0"
"78",6,"Mark Andrews",BAL,"161.3","0","0","55","673","11","4","5","0"
"79",6,"Kyler Murray",ARI,"308.2","3851","21","0","0","0","78","572","5"
"80",6,"Travis Kelce",KC,"146.9","0","0","97","823","3","1","1","0"
"81",6,"Jakobi Meyers",LV,"174.5","0","0","87","1027","4","2","23","0"
"82",6,"Jordan Addison",MIN,"181","0","0","63","875","9","3","20","1"
"83",7,"Chris Godwin",TB,"112.8","0","0","50","576","5","1","2","0"
"84",7,"Jaylen Warren",PIT,"105.1","0","0","38","310","0","120","511","1"
"85",7,"Stefon Diggs",NE,"98.4","0","0","47","496","3","3","8","1"
"86",7,"Tyrone Tracy Jr.",NYG,"163.3","0","0","38","284","1","192","839","5"
"87",7,"Evan Engram",DEN,"66","0","0","47","365","1","0","0","0"
"88",7,"David Njoku",CLE,"116.5","0","0","64","505","5","0","0","0"
"89",7,"Justin Fields",NYJ,"120.1","1106","5","0","0","0","62","289","5"
"90",7,"Jauan Jennings",SF,"172","0","0","77","975","6","0","0","0"
"91",7,"Brock Purdy",SF,"278.9","3864","20","0","0","0","66","323","5"
"92",7,"Dak Prescott",DAL,"124.5","1978","11","0","0","0","13","54","1"
"93",7,"Khalil Shakir",BUF,"144.5","0","0","76","821","4","2","4","0"
"94",7,"Jayden Reed",GB,"169.5","0","0","55","857","6","20","163","1"
"95",7,"Travis Etienne Jr.",JAC,"110.7","0","0","39","254","0","150","558","2"
"96",7,"Deebo Samuel Sr.",WAS,"128.1","0","0","51","670","3","42","136","1"
"97",7,"Ricky Pearsall",SF,"78","0","0","31","400","3","3","45","0"
"98",7,"Justin Herbert",LAC,"288.4","3870","23","0","0","0","69","306","2"
"99",7,"Caleb Williams",CHI,"260.5","3541","20","0","0","0","81","489","0"
"100",7,"Tucker Kraft",GB,"138.3","0","0","50","707","7","3","6","0"
"101",7,"Jordan Mason",MIN,"109.5","0","0","11","91","0","153","789","3"
"102",7,"Josh Downs",IND,"147.5","0","0","72","803","5","1","12","0"
"103",7,"Javonte Williams",DAL,"131.9","0","0","52","346","0","139","513","4"
"104",7,"Jared Goff",DET,"336","4629","37","0","0","0","35","56","0"
"105",7,"Rhamondre Stevenson",NE,"159.4","0","0","33","168","1","207","801","7"
"106",7,"Drake Maye",NE,"187.1","2276","15","0","0","0","54","421","2"
"107",7,"Zach Charbonnet",SEA,"165.9","0","0","42","340","1","135","569","8"
"108",7,"Jordan Love",GB,"244.9","3389","25","0","0","0","25","83","1"
"109",7,"Cooper Kupp",SEA,"141.5","0","0","67","710","6","2","10","0"
"110",7,"Cam Skattebo",NYG,"0","0","0","0","0","0","0","0","0"
"111",7,"Najee Harris",LAC,"186.6","0","0","36","283","0","263","1043","6"
"112",7,"Michael Pittman Jr.",IND,"131.3","0","0","69","808","3","0","0","0"
"113",7,"Tyjae Spears",TEN,"98.6","0","0","30","224","1","84","312","4"
"114",7,"Tank Bigsby",JAC,"125.5","0","0","7","54","0","168","766","7"
"115",7,"Emeka Egbuka",TB,"0","0","0","0","0","0","0","0","0"
"116",7,"Trevor Lawrence",JAC,"152.2","2045","11","0","0","0","26","119","3"
"117",7,"Quinshon Judkins",CLE,"0","0","0","0","0","0","0","0","0"
"118",7,"Jake Ferguson",DAL,"74.9","0","0","59","494","0","0","0","0"
"119",8,"Dalton Kincaid",BUF,"78.8","0","0","44","448","2","0","0","0"
"120",8,"Rachaad White",TB,"174.1","0","0","51","393","6","144","613","3"
"121",8,"Tyler Warren",IND,"0","0","0","0","0","0","0","0","0"
"122",8,"J.K. Dobbins",DEN,"175.8","0","0","32","153","0","195","905","9"
"123",8,"Darnell Mooney",ATL,"161.2","0","0","64","992","5","0","0","0"
"124",8,"C.J. Stroud",HOU,"232.4","3727","20","0","0","0","52","233","0"
"125",8,"Dallas Goedert",PHI,"82.6","0","0","42","496","2","0","0","0"
"126",8,"Brandon Aiyuk",SF,"49.9","0","0","25","374","0","0","0","0"
"127",8,"J.J. McCarthy",MIN,"0","0","0","0","0","0","0","0","0"
"128",8,"Rashid Shaheed",NO,"69.8","0","0","20","349","3","6","29","0"
"129",8,"Keon Coleman",BUF,"97","0","0","29","556","4","1","9","0"
"130",8,"Austin Ekeler",WAS,"114.8","0","0","35","366","0","77","367","4"
"131",8,"Matthew Golden",GB,"0","0","0","0","0","0","0","0","0"
"132",8,"Colston Loveland",CHI,"0","0","0","0","0","0","0","0","0"
"133",8,"Ray Davis",BUF,"107.6","0","0","17","189","3","113","442","3"
"134",8,"Christian Kirk",HOU,"57.4","0","0","27","379","1","0","0","0"
"135",8,"Jerome Ford",CLE,"115.5","0","0","37","225","0","104","565","3"
"136",8,"Rashod Bateman",BAL,"152.1","0","0","45","756","9","0","0","0"
"137",8,"Tua Tagovailoa",MIA,"188.6","2867","19","0","0","0","17","49","0"
"138",8,"Kyle Pitts Sr.",ATL,"107.7","0","0","47","602","4","0","0","0"
"139",8,"Tyler Allgeier",ATL,"99.7","0","0","13","88","0","137","644","3"
"140",8,"Isaac Guerendo",SF,"86.7","0","0","15","152","0","84","420","4"
"141",8,"Matthew Stafford",LAR,"222.6","3762","20","0","0","0","30","41","0"
"142",8,"Trey Benson",ARI,"44","0","0","6","59","0","63","291","1"
"143",8,"Luther Burden III",CHI,"0","0","0","0","0","0","0","0","0"
"144",8,"Jonnu Smith",PIT,"178.3","0","0","88","884","8","2","-1","0"
"145",8,"Hunter Henry",NE,"112.4","0","0","66","674","2","0","0","0"
"146",8,"Michael Penix Jr.",ATL,"47.1","775","3","0","0","0","7","11","1"
"147",8,"Braelon Allen",NYJ,"75.7","0","0","19","148","1","92","334","2"
"148",8,"Cedric Tillman",CLE,"65.9","0","0","29","339","3","1","-5","0"
"149",8,"Jaydon Blue",DAL,"0","0","0","0","0","0","0","0","0"
"150",8,"Bryce Young",CAR,"204","2403","15","0","0","0","43","249","6"
"151",8,"Marvin Mims Jr.",DEN,"110","0","0","39","503","6","13","42","0"
"152",9,"Rico Dowdle",CAR,"178.3","0","0","39","249","3","235","1079","2"
"153",9,"Romeo Doubs",GB,"109.1","0","0","46","601","4","0","0","0"
"154",9,"Tre' Harris",LAC,"0","0","0","0","0","0","0","0","0"
"155",9,"Zach Ertz",WAS,"144.4","0","0","66","654","7","0","0","0"
"156",9,"Nick Chubb",HOU,"60.8","0","0","5","31","1","102","332","3"
"157",9,"Jaylen Wright",MIA,"25.2","0","0","3","8","0","68","249","0"
"158",9,"Marquise Brown",KC,"13.6","0","0","9","91","0","0","0","0"
"159",9,"Kyle Williams",NE,"0","0","0","0","0","0","0","0","0"
"160",9,"Adam Thielen",CAR,"115.5","0","0","48","615","5","0","0","0"
"161",9,"Geno Smith",LV,"281","4320","21","0","0","0","53","272","2"
"162",9,"Jalen McMillan",TB,"116.9","0","0","37","461","8","4","43","0"
"163",9,"Jayden Higgins",HOU,"0","0","0","0","0","0","0","0","0"
"164",9,"Quentin Johnston",LAC,"147.2","0","0","55","711","8","3","6","0"
"165",9,"Roschon Johnson",CHI,"69.4","0","0","16","104","0","55","150","6"
"166",9,"Bhayshul Tuten",JAC,"0","0","0","0","0","0","0","0","0"
"167",9,"DeMario Douglas",NE,"114.7","0","0","66","621","3","3","16","0"
"168",9,"Dylan Sampson",CLE,"0","0","0","0","0","0","0","0","0"
"169",9,"Wan'Dale Robinson",NYG,"136.2","0","0","93","699","3","3","18","0"
"170",9,"Xavier Legette",CAR,"100.6","0","0","49","497","4","6","24","0"
"171",9,"Isaiah Likely",BAL,"102.7","0","0","42","477","6","0","0","0"
"172",9,"Cameron Ward",TEN,"0","0","0","0","0","0","0","0","0"
"173",9,"Blake Corum",LAR,"30","0","0","7","58","0","58","207","0"
"174",9,"Brenton Strange",JAC,"71.1","0","0","40","411","2","0","0","0"
"175",9,"Joshua Palmer",BUF,"87.9","0","0","39","584","1","0","0","0"
"176",9,"Sam Darnold",SEA,"320","4319","35","0","0","0","67","212","1"
"177",9,"Denver Broncos",DEN,"179","0","0","0","0","0","0","0","0"
"178",9,"Philadelphia Eagles",PHI,"135","0","0","0","0","0","0","0","0"
"179",9,"DeAndre Hopkins",BAL,"119","0","0","56","610","5","0","0","0"
"180",9,"MarShawn Lloyd",GB,"2.3","0","0","1","3","0","6","15","0"
"181",9,"Pittsburgh Steelers",PIT,"146","0","0","0","0","0","0","0","0"
"182",9,"Minnesota Vikings",MIN,"162","0","0","0","0","0","0","0","0"
"183",9,"Mason Taylor",NYJ,"0","0","0","0","0","0","0","0","0"
"184",9,"Baltimore Ravens",BAL,"120","0","0","0","0","0","0","0","0"
"185",9,"Mike Gesicki",CIN,"109","0","0","65","665","2","0","0","0"
"186",9,"Pat Freiermuth",PIT,"135.8","0","0","65","653","7","0","0","0"
"187",10,"Alec Pierce",IND,"142.9","0","0","37","824","7","0","0","0"
"188",10,"Jack Bech",LV,"0","0","0","0","0","0","0","0","0"
"189",10,"Aaron Rodgers",PIT,"267.6","3897","28","0","0","0","22","107","0"
"190",10,"Chig Okonkwo",TEN,"87.6","0","0","52","479","2","1","17","0"
"191",10,"Cade Otton",TB,"111.1","0","0","59","600","4","1","-4","0"
"192",10,"Kareem Hunt",KC,"143.9","0","0","23","176","0","200","728","7"
"193",10,"Houston Texans",HOU,"139","0","0","0","0","0","0","0","0"
"194",10,"Kansas City Chiefs",KC,"106","0","0","0","0","0","0","0","0"
"195",10,"Detroit Lions",DET,"123","0","0","0","0","0","0","0","0"
"196",10,"Jalen Coker",CAR,"76.6","0","0","32","478","2","0","0","0"
"197",10,"Kendre Miller",NO,"26.6","0","0","5","33","0","39","148","1"
"198",10,"Michael Wilson",ARI,"101","0","0","47","548","4","1","7","0"
"199",10,"Buffalo Bills",BUF,"133","0","0","0","0","0","0","0","0"
"200",10,"Brandon Aubrey",DAL,"192","0","0","0","0","0","0","0","0"
"201",10,"Darius Slayton",NYG,"90.5","0","0","39","573","2","2","17","0"
"202",10,"Jake Bates",DET,"161","0","0","0","0","0","0","0","0"
"203",10,"Miles Sanders",DAL,"65.3","0","0","24","148","1","55","205","2"
"204",10,"Justice Hill",BAL,"106.1","0","0","42","383","3","47","228","1"
"205",10,"Dontayvion Wicks",GB,"91","0","0","39","415","5","0","0","0"
"206",10,"Dalton Schultz",HOU,"91.7","0","0","53","532","2","0","0","0"
"207",10,"Cameron Dicker",LAC,"179","0","0","0","0","0","0","0","0"
"208",10,"Seattle Seahawks",SEA,"136","0","0","0","0","0","0","0","0"
"209",10,"Wil Lutz",DEN,"160","0","0","0","0","0","0","0","0"
"210",10,"Los Angeles Chargers",LAC,"128","0","0","0","0","0","0","0","0"
"211",10,"Kyle Monangai",CHI,"0","0","0","0","0","0","0","0","0"
"212",10,"Adonai Mitchell",IND,"42.3","0","0","23","312","0","4","6","0"
"213",10,"Anthony Richardson Sr.",IND,"174.9","1814","8","0","0","0","86","499","6"
"214",10,"Los Angeles Rams",LAR,"118","0","0","0","0","0","0","0","0"
"215",10,"Green Bay Packers",GB,"148","0","0","0","0","0","0","0","0"
"216",10,"Chris Boswell",PIT,"191","0","0","0","0","0","0","0","0"
"217",10,"Devin Neal",NO,"0","0","0","0","0","0","0","0","0"
"218",10,"Chase McLaughlin",TB,"164","0","0","0","0","0","0","0","0"
"219",10,"Jaylin Noel",HOU,"0","0","0","0","0","0","0","0","0"
"220",10,"Calvin Austin III",PIT,"100.8","0","0","36","548","4","0","0","0"
"221",10,"DJ Giddens",IND,"0","0","0","0","0","0","0","0","0"
"222",10,"Ka'imi Fairbairn",HOU,"172","0","0","0","0","0","0","0","0"
"223",10,"New York Jets",NYJ,"95","0","0","0","0","0","0","0","0"
"224",10,"Andrei Iosivas",CIN,"101.9","0","0","36","479","6","0","0","0"
"225",10,"Will Shipley",PHI,"13.7","0","0","4","35","0","30","82","0"
"226",10,"Keenan Allen",LAC,"150.4","0","0","70","744","7","0","0","0"
"227",10,"Harrison Butker",KC,"100","0","0","0","0","0","0","0","0"
"228",10,"Elic Ayomanor",TEN,"0","0","0","0","0","0","0","0","0"
"229",10,"Evan McPherson",CIN,"94","0","0","0","0","0","0","0","0"
"230",10,"Juwan Johnson",NO,"97.8","0","0","50","548","3","0","0","0"
"231",10,"Tyler Bass",BUF,"146","0","0","0","0","0","0","0","0"
"232",10,"Ja'Tavion Sanders",CAR,"56.7","0","0","33","342","1","0","0","0"
"233",10,"Jaleel McLaughlin",DEN,"85.2","0","0","24","76","2","113","496","1"
"234",10,"Elijah Arroyo",SEA,"0","0","0","0","0","0","0","0","0"
"235",10,"San Francisco 49ers",SF,"84","0","0","0","0","0","0","0","0"
"236",10,"Tyler Lockett",TEN,"96.5","0","0","49","600","2","0","0","0"
"237",10,"Russell Wilson",NYG,"177.8","2482","16","0","0","0","43","155","2"
"238",10,"Devaughn Vele",DEN,"86","0","0","41","475","3","0","0","0"
"239",10,"Jarquez Hunter",LAR,"0","0","0","0","0","0","0","0","0"
"240",10,"Jake Elliott",PHI,"141","0","0","0","0","0","0","0","0"
"241",10,"Pat Bryant",DEN,"0","0","0","0","0","0","0","0","0"
"242",10,"Woody Marks",HOU,"0","0","0","0","0","0","0","0","0"
"243",11,"Raheem Mostert",LV,"61.4","0","0","19","161","0","85","278","2"
"244",11,"Jason Sanders",MIA,"166","0","0","0","0","0","0","0","0"
"245",11,"Keaton Mitchell",BAL,"6.3","0","0","1","28","0","15","30","0"
"246",11,"Tahj Brooks",CIN,"0","0","0","0","0","0","0","0","0"
"247",11,"Cole Kmet",CHI,"96.9","0","0","47","474","4","0","0","0"
"248",11,"Dallas Cowboys",DAL,"111","0","0","0","0","0","0","0","0"
"249",11,"Younghoe Koo",ATL,"120","0","0","0","0","0","0","0","0"
"250",11,"Elijah Mitchell",KC,"0","0","0","0","0","0","0","0","0"
"251",11,"Roman Wilson",PIT,"0","0","0","0","0","0","0","0","0"
"252",11,"Jalen Royals",KC,"0","0","0","0","0","0","0","0","0"
"253",11,"Diontae Johnson",CLE,"72.6","0","0","33","375","3","2","6","0"
"254",11,"Brashard Smith",KC,"0","0","0","0","0","0","0","0","0"
"255",11,"Tampa Bay Buccaneers",TB,"104","0","0","0","0","0","0","0","0"
"256",11,"Audric Estime",DEN,"46.2","0","0","5","27","0","76","310","2"
"257",11,"Jalen Tolbert",DAL,"127.5","0","0","49","610","7","0","0","0"
"258",11,"Trevor Etienne",CAR,"0","0","0","0","0","0","0","0","0"
"259",11,"Kenneth Gainwell",PIT,"54.6","0","0","16","116","0","75","290","1"
"260",11,"Daniel Jones",IND,"142.3","2070","8","0","0","0","67","265","2"
"261",11,"Brandin Cooks",NO,"56.6","0","0","26","259","3","3","-3","0"
"262",11,"Ollie Gordon II",MIA,"0","0","0","0","0","0","0","0","0"
"263",11,"Antonio Gibson",NE,"91.9","0","0","23","206","0","120","538","1"
"264",11,"Sean Tucker",TB,"64.2","0","0","9","109","1","50","308","2"
"265",11,"Nick Westbrook-Ikhine",MIA,"119.7","0","0","32","497","9","0","0","0"
"266",11,"Elijah Moore",BUF,"90.4","0","0","61","538","1","1","1","0"
"267",11,"Devin Singletary",NYG,"86.1","0","0","21","119","0","113","437","4"
"268",11,"Ty Johnson",BUF,"82.7","0","0","18","284","3","41","213","1"
"269",11,"Dyami Brown",JAC,"52.4","0","0","30","308","1","3","26","0"
"270",11,"Joshua Karty",LAR,"135","0","0","0","0","0","0","0","0"
"271",11,"Matt Gay",WAS,"139","0","0","0","0","0","0","0","0"
"272",11,"Kayshon Boutte",NE,"100.4","0","0","43","589","3","0","0","0"
"273",11,"Malik Washington",MIA,"41.8","0","0","26","223","0","5","25","1"
"274",11,"Khalil Herbert",IND,"26.5","0","0","10","25","0","36","130","1"
"275",11,"Jordan James",SF,"0","0","0","0","0","0","0","0","0"
"276",11,"Noah Gray",KC,"93.3","0","0","40","437","5","1","-4","0"
"277",11,"Cleveland Browns",CLE,"81","0","0","0","0","0","0","0","0"
"278",11,"Joe Flacco",CLE,"106","1761","12","0","0","0","9","26","0"
"279",11,"Tre Tucker",LV,"105.8","0","0","47","539","3","9","44","1"
"280",11,"Isaiah Davis",NYJ,"41.4","0","0","9","75","1","30","174","1"
"281",11,"Sincere McCormick",LV,"24.2","0","0","6","29","0","39","183","0"
"282",11,"Amari Cooper",FA,"100.7","0","0","44","547","4","0","0","0"
"283",11,"Dameon Pierce",HOU,"42.5","0","0","2","2","0","40","293","2"
"284",11,"Tyrod Taylor",NYJ,"20.1","119","3","0","0","0","3","13","0"
"285",11,"Tyler Shough",NO,"0","0","0","0","0","0","0","0","0"
"286",11,"Harold Fannin Jr.",CLE,"0","0","0","0","0","0","0","0","0"
"287",11,"Theo Johnson",NYG,"53.6","0","0","29","331","1","0","0","0"
"288",11,"Kimani Vidal",LAC,"30.2","0","0","5","62","1","43","155","0"
"289",11,"Taysom Hill",NO,"91.8","0","0","23","187","0","39","278","6"
"290",11,"Alexander Mattison",MIA,"119.4","0","0","36","294","1","132","420","4"
"291",11,"Tim Patrick",DET,"75.9","0","0","33","394","3","0","0","0"
"292",11,"Chicago Bears",CHI,"121","0","0","0","0","0","0","0","0"
"293",11,"Parker Washington",JAC,"81","0","0","32","390","3","0","0","0"
"294",11,"Jacory Croskey-Merritt",WAS,"0","0","0","0","0","0","0","0","0"
"295",11,"Jaxson Dart",NYG,"0","0","0","0","0","0","0","0","0"
"296",11,"Jalen Nailor",MIN,"89","0","0","28","414","6","3","-4","0"
"297",11,"Darren Waller",MIA,"0","0","0","0","0","0","0","0","0"
"298",11,"Terrance Ferguson",LAR,"0","0","0","0","0","0","0","0","0"
"299",12,"Tory Horton",SEA,"0","0","0","0","0","0","0","0","0"
"300",12,"Noah Fant",CIN,"80","0","0","48","500","1","0","0","0"
"301",12,"Luke McCaffrey",WAS,"25.8","0","0","18","168","0","0","0","0"
"302",12,"Christian Watson",GB,"90.8","0","0","29","620","2","4","23","0"
"303",12,"Daniel Carlson",LV,"145","0","0","0","0","0","0","0","0"
"304",12,"Xavier Restrepo",TEN,"0","0","0","0","0","0","0","0","0"
"305",12,"Damien Martinez",SEA,"0","0","0","0","0","0","0","0","0"
"306",12,"Ty Chandler",MIN,"25.4","0","0","6","42","0","56","182","0"
"307",12,"Chris Brooks",GB,"36.7","0","0","11","69","0","36","183","1"
"308",12,"Emanuel Wilson",GB,"90.5","0","0","11","48","1","103","502","4"
"309",12,"Zack Moss",FA,"70.4","0","0","23","187","1","74","242","2"
"310",12,"Isaac TeSlaa",DET,"0","0","0","0","0","0","0","0","0"
"311",12,"Oronde Gadsden II",LAC,"0","0","0","0","0","0","0","0","0"
"312",12,"Chris Rodriguez Jr.",WAS,"31","0","0","1","12","0","35","173","2"
"313",12,"Phil Mafah",DAL,"0","0","0","0","0","0","0","0","0"
"314",12,"Jermaine Burton",CIN,"12.7","0","0","4","107","0","0","0","0"
"315",12,"Dont'e Thornton Jr.",LV,"0","0","0","0","0","0","0","0","0"
"316",12,"Ben Sinnott",WAS,"11.3","0","0","5","28","1","0","0","0"
"317",12,"Shedeur Sanders",CLE,"0","0","0","0","0","0","0","0","0"
"318",12,"Raheim Sanders",LAC,"0","0","0","0","0","0","0","0","0"
"319",12,"Tez Johnson",TB,"0","0","0","0","0","0","0","0","0"
"320",12,"Will Reichard",MIN,"131","0","0","0","0","0","0","0","0"
"321",12,"Zamir White",LV,"26.3","0","0","6","30","0","65","183","1"
"322",12,"Gabe Davis",FA,"43.9","0","0","20","239","2","0","0","0"
"323",12,"New England Patriots",NE,"63","0","0","0","0","0","0","0","0"
"324",12,"Tyler Higbee",LAR,"22.6","0","0","8","66","2","0","0","0"
"325",12,"Jason Myers",SEA,"140","0","0","0","0","0","0","0","0"
"326",12,"Will Dissly",LAC,"85.1","0","0","50","481","2","0","0","0"
"327",12,"Miami Dolphins",MIA,"84","0","0","0","0","0","0","0","0"
"328",12,"Arizona Cardinals",ARI,"101","0","0","0","0","0","0","0","0"
"329",12,"Tutu Atwell",LAR,"77.9","0","0","42","562","0","2","7","0"
"330",12,"Tyler Loop",BAL,"0","0","0","0","0","0","0","0","0"
"331",12,"Tyler Conklin",LAC,"96.4","0","0","51","449","4","1","0","0"
"332",12,"A.J. Dillon",PHI,"0","0","0","0","0","0","0","0","0"
"333",12,"Ray-Ray McCloud III",ATL,"109.5","0","0","62","686","1","10","79","0"
"334",12,"Gus Edwards",FA,"62.6","0","0","3","6","0","101","365","4"
"335",12,"Cam Akers",NO,"86.2","0","0","14","68","3","104","444","2"
"336",12,"Jordan Whittington",LAR,"41.5","0","0","22","293","0","2","12","0"
"337",12,"Jalen Milroe",SEA,"0","0","0","0","0","0","0","0","0"
"338",12,"Tai Felton",MIN,"0","0","0","0","0","0","0","0","0"
"339",12,"Samaje Perine",CIN,"67.4","0","0","28","322","1","20","92","1"
"340",12,"Marquez Valdes-Scantling",SEA,"75","0","0","19","411","4","1","4","0"
"341",12,"Dawson Knox",BUF,"48.1","0","0","22","311","1","0","0","0"
"342",12,"Justin Tucker",FA,"143","0","0","0","0","0","0","0","0"
"343",12,"Noah Brown",WAS,"68.8","0","0","35","453","1","0","0","0"
"344",12,"Demarcus Robinson",SF,"108","0","0","31","505","7","0","0","0"
"345",12,"John Metchie III",HOU,"43.4","0","0","24","254","1","0","0","0"
